book_id,work_id,isbn,authors,original_publication_year,title_x,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,genre,pages,_merge,to_read_count
1,2792775,439023483,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,,,left_only,973.0
2,4640799,439554934,"J.K. Rowling, Mary GrandPré",1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,,,left_only,400.0
3,3212258,316015849,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)",3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439,,,left_only,287.0
4,3275794,61120081,Harper Lee,1960.0,To Kill a Mockingbird,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,,,left_only,1478.0
6,16827462,525478817,John Green,2012.0,The Fault in Our Stars,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,,,left_only,1484.0
9,3338963,1416524797,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,,,left_only,513.0
11,3295919,1594480001,Khaled Hosseini,2003.0,The Kite Runner,4.26,1813044,1878095,59730,34288,59980,226062,628174,929591,,,left_only,1767.0
12,13155899,62024035,Veronica Roth,2011.0,"Divergent (Divergent, #1)",4.24,1903563,2216814,101023,36315,82870,310297,673028,1114304,"Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Teen,Apocalyptic,Post Apocalyptic,Action",487.0,both,1082.0
16,1708725,307269752,"Stieg Larsson, Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,1929834,62543,54835,86051,285413,667485,836050,,,left_only,1425.0
17,6171458,439023491,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",4.3,1831039,1988079,88538,10492,48030,262010,687238,980309,,,left_only,591.0
18,2402163,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,1969375,36099,6716,20413,166129,509447,1266670,,,left_only,428.0
20,8812783,439023513,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",4.03,1719760,1870748,96274,30144,110498,373060,618271,738775,,,left_only,682.0
21,2809203,439358078,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,,,left_only,427.0
